Sexo;Edad;Nacionalidad;Year;Total
Hombres;16 años;Españoles;2022;230.695
Hombres;16 años;Españoles;2021;229.143
Hombres;16 años;Españoles;2020;223.528
Hombres;16 años;Españoles;2019;214.979
Hombres;16 años;Españoles;2018;211.341
Hombres;16 años;Españoles;2017;211.339
Hombres;16 años;Españoles;2016;203.076
Hombres;16 años;Españoles;2015;196.067
Hombres;16 años;Españoles;2014;196.095
Hombres;16 años;Españoles;2013;191.613
Hombres;16 años;Españoles;2012;193.628
Hombres;16 años;Españoles;2011;195.523
Hombres;16 años;Españoles;2010;203.138
Hombres;16 años;Españoles;2009;209.951
Hombres;16 años;Españoles;2008;208.651
Hombres;16 años;Españoles;2007;211.401
Hombres;17 años;Españoles;2022;229.722
Hombres;17 años;Españoles;2021;223.986
Hombres;17 años;Españoles;2020;215.583
Hombres;17 años;Españoles;2019;211.961
Hombres;17 años;Españoles;2018;212.164
Hombres;17 años;Españoles;2017;203.972
Hombres;17 años;Españoles;2016;197.080
Hombres;17 años;Españoles;2015;197.420
Hombres;17 años;Españoles;2014;193.430
Hombres;17 años;Españoles;2013;191.841
Hombres;17 años;Españoles;2012;195.570
Hombres;17 años;Españoles;2011;203.648
Hombres;17 años;Españoles;2010;210.257
Hombres;17 años;Españoles;2009;209.174
Hombres;17 años;Españoles;2008;211.501
Hombres;17 años;Españoles;2007;214.918
Hombres;18 años;Españoles;2022;225.523
Hombres;18 años;Españoles;2021;216.815
Hombres;18 años;Españoles;2020;213.714
Hombres;18 años;Españoles;2019;214.016
Hombres;18 años;Españoles;2018;205.938
Hombres;18 años;Españoles;2017;199.078
Hombres;18 años;Españoles;2016;199.582
Hombres;18 años;Españoles;2015;195.655
Hombres;18 años;Españoles;2014;194.877
Hombres;18 años;Españoles;2013;195.801
Hombres;18 años;Españoles;2012;204.071
Hombres;18 años;Españoles;2011;211.294
Hombres;18 años;Españoles;2010;210.276
Hombres;18 años;Españoles;2009;212.083
Hombres;18 años;Españoles;2008;215.555
Hombres;18 años;Españoles;2007;218.581
Hombres;19 años;Españoles;2022;218.198
Hombres;19 años;Españoles;2021;214.739
Hombres;19 años;Españoles;2020;215.771
Hombres;19 años;Españoles;2019;207.393
Hombres;19 años;Españoles;2018;200.459
Hombres;19 años;Españoles;2017;201.046
Hombres;19 años;Españoles;2016;197.395
Hombres;19 años;Españoles;2015;196.970
Hombres;19 años;Españoles;2014;197.779
Hombres;19 años;Españoles;2013;204.573
Hombres;19 años;Españoles;2012;211.040
Hombres;19 años;Españoles;2011;211.217
Hombres;19 años;Españoles;2010;212.921
Hombres;19 años;Españoles;2009;216.333
Hombres;19 años;Españoles;2008;219.576
Hombres;19 años;Españoles;2007;222.285
Hombres;20 años;Españoles;2022;215.869
Hombres;20 años;Españoles;2021;216.383
Hombres;20 años;Españoles;2020;208.554
Hombres;20 años;Españoles;2019;201.521
Hombres;20 años;Españoles;2018;201.979
Hombres;20 años;Españoles;2017;198.495
Hombres;20 años;Españoles;2016;197.941
Hombres;20 años;Españoles;2015;199.303
Hombres;20 años;Españoles;2014;206.415
