tipo_vivienda;variación;periodo;total
General;Índice;2023T2;146,583
General;Índice;2023T1;143,580
General;Índice;2022T4;142,666
General;Índice;2022T3;143,860
General;Índice;2022T2;141,433
General;Índice;2022T1;138,742
General;Índice;2021T4;135,291
General;Índice;2021T3;133,652
General;Índice;2021T2;130,937
General;Índice;2021T1;127,831
General;Índice;2020T4;127,179
General;Índice;2020T3;128,255
General;Índice;2020T2;126,799
General;Índice;2020T1;126,695
General;Índice;2019T4;125,320
General;Índice;2019T3;126,135
General;Índice;2019T2;124,175
General;Índice;2019T1;122,758
General;Índice;2018T4;120,954
General;Índice;2018T3;120,491
General;Índice;2018T2;117,941
General;Índice;2018T1;114,994
General;Índice;2017T4;113,457
General;Índice;2017T3;112,442
General;Índice;2017T2;110,410
General;Índice;2017T1;108,239
General;Índice;2016T4;105,848
General;Índice;2016T3;105,431
General;Índice;2016T2;104,601
General;Índice;2016T1;102,775
General;Índice;2015T4;101,305
General;Índice;2015T3;101,358
General;Índice;2015T2;100,687
General;Índice;2015T1;96,651
General;Índice;2014T4;97,194
General;Índice;2014T3;97,002
General;Índice;2014T2;96,805
General;Índice;2014T1;95,208
General;Índice;2013T4;95,512
General;Índice;2013T3;96,742
General;Índice;2013T2;96,041
General;Índice;2013T1;96,768
General;Índice;2012T4;103,593
General;Índice;2012T3;105,073
General;Índice;2012T2;109,187
General;Índice;2012T1;112,861
General;Índice;2011T4;118,782
General;Índice;2011T3;123,948
General;Índice;2011T2;127,528
General;Índice;2011T1;129,059
General;Índice;2010T4;133,718
General;Índice;2010T3;133,846
General;Índice;2010T2;136,790
General;Índice;2010T1;134,626
General;Índice;2009T4;136,313
General;Índice;2009T3;136,845
General;Índice;2009T2;138,082
General;Índice;2009T1;138,693
General;Índice;2008T4;142,511
General;Índice;2008T3;147,134
General;Índice;2008T2;149,618
General;Índice;2008T1;150,082
General;Índice;2007T4;150,640
General;Índice;2007T3;151,719
General;Índice;2007T2;150,103
General;Índice;2007T1;145,935
General;Variación trimestral;2023T2;2,1
General;Variación trimestral;2023T1;0,6
General;Variación trimestral;2022T4;-0,8
