tipo_jornada;grupo_edad;decil;periodo;total
Total;De 16 a 24 años;Total decil;2022;1315,43
Total;De 16 a 24 años;Total decil;2021;1234,94
Total;De 16 a 24 años;Total decil;2020;1207,13
Total;De 16 a 24 años;Total decil;2019;1184,65
Total;De 16 a 24 años;Total decil;2018;1091,67
Total;De 16 a 24 años;Total decil;2017;1065,48
Total;De 16 a 24 años;Total decil;2016;1029,30
Total;De 16 a 24 años;Total decil;2015;1042,38
Total;De 16 a 24 años;Total decil;2014;1030,64
Total;De 16 a 24 años;Total decil;2013;1032,45
Total;De 16 a 24 años;Total decil;2012;1040,31
Total;De 16 a 24 años;Total decil;2011;1118,68
Total;De 16 a 24 años;Total decil;2010;1181,92
Total;De 16 a 24 años;Total decil;2009;1174,34
Total;De 16 a 24 años;Total decil;2008;1173,55
Total;De 16 a 24 años;Total decil;2007;1138,20
Total;De 16 a 24 años;Total decil;2006;1083,59
Total;De 25 a 34 años;Total decil;2022;1850,55
Total;De 25 a 34 años;Total decil;2021;1767,67
Total;De 25 a 34 años;Total decil;2020;1723,71
Total;De 25 a 34 años;Total decil;2019;1671,54
Total;De 25 a 34 años;Total decil;2018;1615,20
Total;De 25 a 34 años;Total decil;2017;1557,70
Total;De 25 a 34 años;Total decil;2016;1543,90
Total;De 25 a 34 años;Total decil;2015;1502,50
Total;De 25 a 34 años;Total decil;2014;1575,92
Total;De 25 a 34 años;Total decil;2013;1581,70
Total;De 25 a 34 años;Total decil;2012;1589,38
Total;De 25 a 34 años;Total decil;2011;1644,48
Total;De 25 a 34 años;Total decil;2010;1653,79
Total;De 25 a 34 años;Total decil;2009;1637,80
Total;De 25 a 34 años;Total decil;2008;1620,52
Total;De 25 a 34 años;Total decil;2007;1506,14
Total;De 25 a 34 años;Total decil;2006;1453,98
Total;De 35 a 44 años;Total decil;2022;2179,23
Total;De 35 a 44 años;Total decil;2021;2132,75
Total;De 35 a 44 años;Total decil;2020;2048,47
Total;De 35 a 44 años;Total decil;2019;2015,83
Total;De 35 a 44 años;Total decil;2018;2020,61
Total;De 35 a 44 años;Total decil;2017;1953,54
Total;De 35 a 44 años;Total decil;2016;1915,80
Total;De 35 a 44 años;Total decil;2015;1961,03
Total;De 35 a 44 años;Total decil;2014;1951,49
Total;De 35 a 44 años;Total decil;2013;1938,74
Total;De 35 a 44 años;Total decil;2012;1921,95
Total;De 35 a 44 años;Total decil;2011;1889,13
Total;De 35 a 44 años;Total decil;2010;1868,04
Total;De 35 a 44 años;Total decil;2009;1886,05
Total;De 35 a 44 años;Total decil;2008;1868,84
Total;De 35 a 44 años;Total decil;2007;1736,16
Total;De 35 a 44 años;Total decil;2006;1638,34
Total;De 45 a 54 años;Total decil;2022;2292,49
Total;De 45 a 54 años;Total decil;2021;2273,26
Total;De 45 a 54 años;Total decil;2020;2199,40
Total;De 45 a 54 años;Total decil;2019;2157,06
Total;De 45 a 54 años;Total decil;2018;2140,75
Total;De 45 a 54 años;Total decil;2017;2097,82
Total;De 45 a 54 años;Total decil;2016;2083,45
Total;De 45 a 54 años;Total decil;2015;2118,30
Total;De 45 a 54 años;Total decil;2014;2084,07
Total;De 45 a 54 años;Total decil;2013;2104,90
Total;De 45 a 54 años;Total decil;2012;2065,10
Total;De 45 a 54 años;Total decil;2011;2067,38
Total;De 45 a 54 años;Total decil;2010;2085,38
Total;De 45 a 54 años;Total decil;2009;2065,46
Total;De 45 a 54 años;Total decil;2008;1992,59
Total;De 45 a 54 años;Total decil;2007;1878,93
Total;De 45 a 54 años;Total decil;2006;1818,97
Total;55 y más años;Total decil;2022;2381,19
Total;55 y más años;Total decil;2021;2348,46
Total;55 y más años;Total decil;2020;2361,19
Total;55 y más años;Total decil;2019;2306,29
Total;55 y más años;Total decil;2018;2205,57
Total;55 y más años;Total decil;2017;2169,18
Total;55 y más años;Total decil;2016;2228,07
Total;55 y más años;Total decil;2015;2260,31
Total;55 y más años;Total decil;2014;2198,27
Total;55 y más años;Total decil;2013;2134,67
Total;55 y más años;Total decil;2012;2167,49
Total;55 y más años;Total decil;2011;2136,90
Total;55 y más años;Total decil;2010;2181,40
Total;55 y más años;Total decil;2009;2112,81
Total;55 y más años;Total decil;2008;2151,89
Total;55 y más años;Total decil;2007;1932,21
Total;55 y más años;Total decil;2006;1879,86
