tipo_jornada;formacion;periodo;total
Total;Z Analfabetos;2022;1361,34
Total;Z Analfabetos;2021;1117,57
Total;Z Analfabetos;2020;1282,21
Total;Z Analfabetos;2019;1259,11
Total;Z Analfabetos;2018;1056,3
Total;Z Analfabetos;2017;1193,72
Total;Z Analfabetos;2016;1149,24
Total;Z Analfabetos;2015;1099,31
Total;Z Analfabetos;2014;988,58
Total;Z Analfabetos;2022;646,24
Total;Z Analfabetos;2021;581,28
Total;Z Analfabetos;2020;636
Total;Z Analfabetos;2019;509,18
Total;Z Analfabetos;2018;539,88
Total;Z Analfabetos;2017;425,03
Total;Z Analfabetos;2016;356,23
Total;Z Analfabetos;2015;356,5
Total;Z Analfabetos;2014;516,35
Total;Z Analfabetos;2022;1141,99
Total;Z Analfabetos;2021;1004,5
Total;Z Analfabetos;2020;975,13
Total;Z Analfabetos;2019;1020,08
Total;Z Analfabetos;2018;909,16
Total;Z Analfabetos;2017;851,28
Total;Z Analfabetos;2016;843,89
Total;Z Analfabetos;2015;839,48
Total;Z Analfabetos;2014;778,35
Total;Z Analfabetos;2022;1334,91
Total;Z Analfabetos;2021;1256,73
Total;Z Analfabetos;2020;1221
Total;Z Analfabetos;2019;1204,58
Total;Z Analfabetos;2018;1143,12
Total;Z Analfabetos;2017;1133,56
Total;Z Analfabetos;2016;1103,78
Total;Z Analfabetos;2015;1123,6
Total;Z Analfabetos;2014;1083,21
Total;Z Analfabetos;2022;1503,03
Total;Z Analfabetos;2021;1462,28
Total;Z Analfabetos;2020;1437,62
Total;Z Analfabetos;2019;1428,63
Total;Z Analfabetos;2018;1371,52
Total;Z Analfabetos;2017;1336,64
Total;Z Analfabetos;2016;1346,75
Total;Z Analfabetos;2015;1299,88
Total;Z Analfabetos;2014;1269,39
Total;Z Analfabetos;2022;1688,71
Total;Z Analfabetos;2021;1651,95
Total;Z Analfabetos;2020;1569,06
Total;Z Analfabetos;2019;1573,84
Total;Z Analfabetos;2018;1533,72
Total;Z Analfabetos;2017;1537,57
Total;Z Analfabetos;2016;1516,51
Total;Z Analfabetos;2015;1492,13
Total;Z Analfabetos;2014;1526,64
Total;Z Analfabetos;2022;1922,33
Total;Z Analfabetos;2021;1888,53
Total;Z Analfabetos;2020;1749,66
Total;Z Analfabetos;2019;1883,81
Total;Z Analfabetos;2018;1721,95
Total;Z Analfabetos;2017;1749,48
Total;Z Analfabetos;2016;1685,09
Total;Z Analfabetos;2015;..
Total;Z Analfabetos;2014;1619,4
Total;Z Analfabetos;2022;2163,37
Total;Z Analfabetos;2021;..
Total;Z Analfabetos;2020;2217,68
Total;Z Analfabetos;2019;1986,12
Total;Z Analfabetos;2018;..
Total;Z Analfabetos;2017;1904,58
Total;Z Analfabetos;2016;2043,22
Total;Z Analfabetos;2015;2019,66
Total;Z Analfabetos;2014;..
Total;Z Analfabetos;2022;..
Total;Z Analfabetos;2021;2812,17
Total;Z Analfabetos;2020;..
Total;Z Analfabetos;2019;2477,68
Total;Z Analfabetos;2018;2348,07
Total;Z Analfabetos;2017;2574,73
Total;Z Analfabetos;2016;2340
Total;Z Analfabetos;2015;..
Total;Z Analfabetos;2014;2356,32
Total;Z Analfabetos;2022;..
Total;Z Analfabetos;2021;..
Total;Z Analfabetos;2020;..
Total;Z Analfabetos;2019;..
Total;Z Analfabetos;2018;..
Total;Z Analfabetos;2017;2930,08
Total;Z Analfabetos;2016;..
Total;Z Analfabetos;2015;..
Total;Z Analfabetos;2014;..
Total;Z Analfabetos;2022;..
Total;Z Analfabetos;2021;..
Total;Z Analfabetos;2020;..
Total;Z Analfabetos;2019;3758,46
Total;Z Analfabetos;2018;..
Total;Z Analfabetos;2017;..
Total;Z Analfabetos;2016;..
Total;Z Analfabetos;2015;..
Total;Z Analfabetos;2014;..
Total;11 Estudios primarios incompletos;2022;1445,81
Total;11 Estudios primarios incompletos;2021;1380,29
Total;11 Estudios primarios incompletos;2020;1306,22
Total;11 Estudios primarios incompletos;2019;1274,08
Total;11 Estudios primarios incompletos;2018;1188,29
Total;11 Estudios primarios incompletos;2017;1162,86
Total;11 Estudios primarios incompletos;2016;1144,79
Total;11 Estudios primarios incompletos;2015;1133,62
Total;11 Estudios primarios incompletos;2014;1105,54
Total;11 Estudios primarios incompletos;2022;633,74
Total;11 Estudios primarios incompletos;2021;578,66
Total;11 Estudios primarios incompletos;2020;478,09
Total;11 Estudios primarios incompletos;2019;494,92
Total;11 Estudios primarios incompletos;2018;453,34
Total;11 Estudios primarios incompletos;2017;422,88
Total;11 Estudios primarios incompletos;2016;499,6
Total;11 Estudios primarios incompletos;2015;348,75
Total;11 Estudios primarios incompletos;2014;406,6
Total;11 Estudios primarios incompletos;2022;1144,65
Total;11 Estudios primarios incompletos;2021;1048,75
Total;11 Estudios primarios incompletos;2020;1021,46
Total;11 Estudios primarios incompletos;2019;1011,05
Total;11 Estudios primarios incompletos;2018;914,17
Total;11 Estudios primarios incompletos;2017;877,63
Total;11 Estudios primarios incompletos;2016;864,23
Total;11 Estudios primarios incompletos;2015;832,3
Total;11 Estudios primarios incompletos;2014;834,74
Total;11 Estudios primarios incompletos;2022;1338,8
Total;11 Estudios primarios incompletos;2021;1275,53
Total;11 Estudios primarios incompletos;2020;1238,96
Total;11 Estudios primarios incompletos;2019;1213,97
Total;11 Estudios primarios incompletos;2018;1160,93
Total;11 Estudios primarios incompletos;2017;1089
Total;11 Estudios primarios incompletos;2016;1099,29
Total;11 Estudios primarios incompletos;2015;1088,93
Total;11 Estudios primarios incompletos;2014;1096,76
Total;11 Estudios primarios incompletos;2022;1529,47
Total;11 Estudios primarios incompletos;2021;1470,15
Total;11 Estudios primarios incompletos;2020;1415,76
Total;11 Estudios primarios incompletos;2019;1415,83
Total;11 Estudios primarios incompletos;2018;1331,91
Total;11 Estudios primarios incompletos;2017;1300,05
Total;11 Estudios primarios incompletos;2016;1334,67
Total;11 Estudios primarios incompletos;2015;1321,2
Total;11 Estudios primarios incompletos;2014;1311,82
Total;11 Estudios primarios incompletos;2022;1739,33
Total;11 Estudios primarios incompletos;2021;1680,92
Total;11 Estudios primarios incompletos;2020;1571,67
Total;11 Estudios primarios incompletos;2019;1581,9
Total;11 Estudios primarios incompletos;2018;1533,75
Total;11 Estudios primarios incompletos;2017;1515,23
Total;11 Estudios primarios incompletos;2016;1514,12
Total;11 Estudios primarios incompletos;2015;1494,99
Total;11 Estudios primarios incompletos;2014;1496,65
Total;11 Estudios primarios incompletos;2022;1894,07
Total;11 Estudios primarios incompletos;2021;1878,21
